Meter Type,Main Meter,,,
Date / End Time,kW Export,kW Import,kVAR Export,kVAR Import
11/13/2025 18:00:00,0,1326,0,422
11/13/2025 18:30:00,0,1401,0,434
11/13/2025 19:00:00,0,1283,0,404
11/13/2025 19:30:00,0,1343,0,434
11/13/2025 20:00:00,0,1089,0,282
11/13/2025 20:30:00,0,996,0,271
11/13/2025 21:00:00,0,1266,0,428
11/13/2025 21:30:00,0,1243,0,365
11/13/2025 22:00:00,0,1301,0,424
11/13/2025 22:30:00,0,1381,0,438
11/13/2025 23:00:00,0,1365,0,415
11/13/2025 23:30:00,0,1303,0,396
11/14/2025 00:00:00,0,1263,0,367
11/14/2025 00:30:00,0,928,0,234
11/14/2025 01:00:00,0,775,0,165
11/14/2025 01:30:00,0,955,0,277
11/14/2025 02:00:00,0,1123,0,344
11/14/2025 02:30:00,0,1345,0,406
11/14/2025 03:00:00,0,1319,0,404
11/14/2025 03:30:00,0,1201,0,380
11/14/2025 04:00:00,0,1156,0,338
11/14/2025 04:30:00,0,1128,0,319
